Ward,ward_name, Avg Income,< 30% on House,< 30% on Rent,Bachelor's or higher
NA,Toronto,121200,25.6,40,976620
2,Etobicoke Centre,95200,23.5,34.200000000000003,22120
3,Etobicoke-Lakeshore,146600,18.8,39.200000000000003,37540
4,Parkdale-High Park,127200,24.7,40.9,54175
5,York South-Weston,127200,20.3,39.700000000000003,45405
6,York Centre,88700,22.3,34.799999999999997,17910
7,Humber River-Black Creek,107500,25.3,36.1,30650
8,Eglinton-Lawrence,85700,24,33.200000000000003,16310
9,Davenport,176400,20.3,38,45065
10,Spadina-Fort York,107300,21.6,41.3,34340
11,University-Rosedale,118200,35.200000000000003,43.7,82560
12,Toronto-St. Paul's,174800,29.8,48.8,57405
13,Toronto Centre,160400,24.8,44.6,57100
14,Toronto-Danforth,89400,35.1,43.1,58605
15,Don Valley West,130800,18.2,37.799999999999997,40500
16,Don Valley East,224800,21.8,40.9,46220
17,Don Valley North,100300,26.1,39.1,29065
18,Willowdale,103800,31.4,43.6,48980
19,Beaches-East York,106300,37.6,49.3,57030
20,Scarborough Southwest,130600,18.3,38.6,38480
21,Scarborough Centre,102200,22.7,32.299999999999997,28980
22,Scarborough-Agincourt,91500,26,35.799999999999997,27210
23,Scarborough North,93000,32,36,28905
24,Scarborough-Guildwood,100000,28.8,33.299999999999997,21660
25,Scarborough-Rouge Park,92700,25.4,31.6,25115
